QuestionCode,Question,Fullmark,RightAnswer
CPT011,什么是代码审查？其目的是？,5,代码审查是对源代码进行检查和评估的过程。（2分）其主要目的是发现和修复代码中的错误，提高代码质量，促进知识共享和团队协作。（3分）
CPT012,"请解释什么是用户故事,以及它们在敏捷开发中的作用.",6,"用户故事是一种用于描述软件功能的简短故事,通常从用户的角度出发,描述用户要达成的目标以及为实现这个目标需要的功能。（3分）在敏捷开发中,用户故事是需求的一种形式,用于指导开发团队的工作。（3分）"
CPT013,简述验证和确认以及它们的区别,10,"验证:证实一个过程或项目的每一个软件工作产品/服务是否正确地反映所规约的需求。（2分）确认:证实所期望的软件工作产品是否满足其需求。（2分）两者的区别:验证是通过提供的客观证据,证实规约的需求是否得以满足。（3分）确认是通过提供的客观证据,证实有关特定期望的使用或应用的需求是否得以满足。（3分）"
CPT014,软件设计的基本原理包括哪些内容？,8,"⑴模块化：模块是软件的组成部分，是具有独立功能且可命名的一段程序，所有模块组成整体，可以满足问题的要求。（2分）⑵抽象：认识复杂现象过程所使用权的工具，只考虑事物本质的共同特性，忽略细节和其它因素。通过抽象确定组成软件的过程实体。（2分） ⑶信息隐蔽：将模块实现自身功能的细节与数据""隐蔽""起来。模块间仅交换为完成系统功能所必须的信息。（2分）⑷模块独立性：每个模块只完成系统要求的独立的子功能。（2分）"
CPT015,请简述可行性研究有哪些步骤?,8,复查系统规模和目标；（2分）研究当前的系统；（2分）导出新系统的高层逻辑模型；（2分）重新定义问题；（2分）导出和评价可供选择的解决方案；（2分）推荐可行的行动方案；（2分）草拟开发计划；（2分）书写文档并提交审查。（2分）
CPT016,黑盒测试和白盒测试有什么区别?,10,（1）黑盒测试法: 把程序看作一个黑盒子，完全不考虑程序的内部结构和处理过程。（1分）它只检查程序功能是否能按照规格说明书的规定正常使用，程序是否能适当地接收输入数据并产生正确的输出信息，程序运行过程中能否保持外部信息的完整性。（2分）黑盒测试又称为功能测试，包含等价类划分法、边界值法、错误推测法、因果图法等。（2分）（2）白盒测试法: 是把程序看成装在一个透明的白盒子里，测试者完全知道程序的结构和处理算法。（1分）这种方法按照程序内部的逻辑测试程序，检测程序中的主要执行通路是否都能按预定要求正确工作。（2分）白盒测试又称为结构测试，包含逻辑覆盖法和基本路径测试法。（2分）
CPT017,简述文档在软件工程中的作用,12,"(1)提高软件开发过程的能见度；（2分）
(2)提高开发效率；（2分）
(3)作为开发人员阶段工作成果和结束标志；（2分）
(4)记录开发过程的有关信息便于使用与维护；（2分）
(5)提供软件运行、维护和培训有关资料；（2分）
(6)便于用户了解软件功能、性能。（2分）"
CPT018,软件模块设计需遵循哪些准则,12,"(1)降低模块之间的耦合性，提高模块的内聚性（2分）
(2)模块结构的深度、宽度、扇出和扇入应适当（2分）
(3)模块的作用范围应该在控制范围内（2分）
(4)模块接口设计要简单，以便降低复杂程度和冗余度（2分）
(5)设计功能可预测并能得到验证的模块（2分）
(6)适当划分模块规模，以保持其独立性（2分）"
CPT019,软件架构在软件工程中的作用是什么?,4,软件体系结构定义了软件系统的高级结构，包括其组件及其相互作用。（2分）它通过为系统设计提供蓝图来确保可伸缩性、可靠性和可维护性。（2分）
CPT020,请简述软件开发的敏捷开发模式及其优势.,6,"敏捷开发是一种迭代式开发方法,它强调快速响应变化和持续交付价值。（1分）在敏捷开发中,开发团队通过短周期的迭代来交付产品功能,每个迭代都包括需求分析、设计、编码、测试和部署等环节。（2分）敏捷开发的优点包括快速响应变化、提高开发效率、提高产品质量、增强团队沟通与协作等。（2分）敏捷开发能够适应快速变化的需求,并且能够及时反馈给利益相关者,从而更好地满足用户需求。（1分）"
