QuestionCode,StudentAns1,ManualScore,StudentAns2,ManualScore
CPT011,代码审查是对源代码进行检查和评估的过程。其目的是发现和修复代码中的错误，提高代码质量，促进知识共享和团队协作。在代码审查的过程中，团队成员会互相查看和评估彼此的代码，从而找出潜在的问题和改进的地方。这样不仅能确保代码的正确性和高质量，还能让团队成员互相学习，共同进步。,5分/5,,
CPT012,用户故事是简洁的功能描述，通常从用户角度出发，描述他们的需求和期望。在敏捷开发中，用户故事作为需求的主要形式，帮助团队理解和实现用户期望的功能。它们通过简单的语言描述功能，并明确优先级，以便团队在每个迭代中优先完成最有价值的功能，从而持续交付有意义的软件产品。,6分/6,,
CPT013,验证和确认是软件开发过程中两个关键的概念，用于确保软件产品符合预期需求和用户期望。验证是指通过提供的客观证据，检验软件工作产品或服务是否正确地反映了规定的需求。它关注的是软件是否按照规格说明书的要求进行实现和操作。确认则是验证软件工作产品是否满足其需求，即实际上是否能够满足用户的特定期望和应用需求。确认侧重于验证软件在实际使用中的效果和表现。两者的区别在于验证着眼于软件是否正确实现了规定的功能，而确认则关注软件是否在实际使用中满足了用户的预期需求和期望。,10分/10,,
CPT014,软件设计的基本原理包括模块化、抽象、信息隐蔽和模块独立性。模块化是将软件拆分为独立的功能模块，每个模块都可以单独命名和开发，最终组合成完整的系统以满足需求。抽象是理解和概括问题本质的过程，通过抽象确定软件设计的实体。信息隐蔽则是保持模块内部实现的细节和数据私密，模块之间仅通过必要的信息交互来完成系统功能。模块独立性指每个模块只完成系统要求的独立子功能，减少模块间的耦合，提高系统的灵活性和可维护性。,8分/8,,
CPT015,可行性研究包括以下步骤：首先是复查系统的规模和目标，确保了解系统需要达到的目标和其规模。其次是研究当前的系统，分析现有系统的问题和不足。接下来是导出新系统的高层逻辑模型，明确新系统的设计蓝图和结构。然后是重新定义问题，确保新系统能够有效解决现有系统中的问题。接着是导出和评价可供选择的解决方案，比较不同解决方案的优缺点。然后是推荐可行的行动方案，选择最适合的解决方案进行实施。最后是草拟开发计划，安排实施新系统的具体步骤和时间表，并书写相关文档提交审查。,16分/16,,
CPT016,黑盒测试是基于软件的功能需求和用户场景进行的测试，不需要了解程序的内部实现。测试人员只关注输入和输出的正确性，通过测试用例来验证系统的功能。白盒测试则是基于程序内部结构和逻辑进行的测试，测试人员需要了解代码和实现，主要关注程序的控制流和数据流。黑盒测试能够发现功能性问题和用户界面问题，白盒测试能够发现代码中的逻辑错误和边界条件问题。两者结合使用可以更全面地保证软件质量。,6分/10,,
CPT017,文档在软件工程中扮演着多重重要角色。首先，它们提高了软件开发过程的能见度，使得整个开发团队能够清晰地了解项目的进展和各阶段的完成情况（2分）。其次，文档有助于提高开发效率，因为开发人员可以根据文档快速理解需求和设计细节（2分）。此外，文档还作为开发人员阶段性工作成果和项目结束的标志，帮助团队在开发周期内保持组织和管理（2分）。另外，文档记录了开发过程中的关键信息，包括设计决策、问题解决方案等，这些信息在软件维护和升级时非常有价值（2分）。此外，文档还提供了软件运行、维护和培训的相关资料，有助于用户理解软件的功能和性能，提升用户体验和接受度（2分）。,10分/12,,
CPT018,软件模块设计需要遵循几个关键准则以确保模块的质量和系统的可维护性。首先，要降低模块之间的耦合性，同时提高模块的内聚性，这有助于模块之间的独立性和复用性（2分）。其次，模块的结构包括深度、宽度、扇出和扇入应适当，这样可以保持系统的结构清晰和可管理性（2分）。另外，模块的作用范围应该在控制范围内，避免模块功能过于复杂或松散（2分）。此外，模块接口设计应简单，以降低复杂度和冗余，使得模块之间的通信和集成更加顺畅（2分）。还有，设计功能可预测并能得到验证的模块，确保每个模块按照设计预期正常运行（2分）。最后，适当划分模块规模，以保持其独立性和可维护性，同时便于模块的重用和替换（2分）。,12分/12,,
CPT019,软件体系结构定义了软件系统的高级结构，包括其组件及其相互作用。这一点强调了软件架构在定义系统的整体结构和组成部分方面的重要性。软件架构通过为系统设计提供蓝图，确保了系统的可伸缩性、可靠性和可维护性。这表明软件架构不仅仅是一个静态的设计方案，还关注系统在长期运行中如何满足性能、可靠性和维护的需求。,10分/10,,
CPT020,敏捷开发是一种软件开发方法论，强调通过迭代和增量的方式快速响应变化和交付软件。在敏捷开发中，开发团队通常将开发周期划分为多个短期的迭代周期，每个迭代周期内包含需求分析、设计、编码、测试和部署等环节。这种方法注重的是灵活性和协作，能够让开发团队根据用户反馈和市场需求快速调整和优化软件功能。通过持续的交付和快速迭代，敏捷开发能够提高开发效率，增强产品质量，并促进团队内外的有效沟通与协作。,6分/6,,
